Id,ActivityDate,Day,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalSleepRecords,TotalMinutesAsleep,Calories
8053475328,2016-05-05,5,14990,11.5100002288818,8.85000038146973,0.449999988079071,2.21000003814697,93,9,130,1208,NA,NA,2950
8053475328,2016-04-28,5,15447,12.3999996185303,9.67000007629395,0.389999985694885,2.34999990463257,90,9,153,1188,NA,NA,3062
8053475328,2016-04-26,3,12685,9.61999988555908,6.30999994277954,0.200000002980232,3.09999990463257,68,5,185,1182,NA,NA,2846
8053475328,2016-05-06,6,13953,11,9.10000038146973,0.689999997615814,1.21000003814697,90,15,90,1245,NA,NA,2859
8053475328,2016-04-22,6,10520,8.28999996185303,6.26000022888184,0.150000005960464,1.87999999523163,60,3,117,1260,NA,NA,2655
8053475328,2016-05-03,3,15484,11.8999996185303,8.39000034332275,0.930000007152557,2.58999991416931,87,22,165,1166,NA,NA,3023
8053475328,2016-04-19,3,15929,12.4799995422363,9.22000026702881,0.310000002384186,2.95000004768372,90,7,191,1152,NA,NA,3114
8053475328,2016-04-13,4,16433,13.3500003814697,10.4300003051758,0.469999998807907,2.45000004768372,95,12,156,1177,NA,NA,3140
8053475328,2016-04-16,7,14549,11.1099996566772,9.35999965667725,0.270000010728836,1.49000000953674,96,6,83,1255,NA,NA,2867
8053475328,2016-05-07,7,19769,15.6700000762939,12.4399995803833,0.879999995231628,2.34999990463257,121,20,148,1076,1,74,3331
8053475328,2016-05-11,4,12209,9.39999961853027,6.07999992370605,0.280000001192093,3.03999996185303,60,7,184,1189,NA,NA,2809
8053475328,2016-04-14,5,20159,15.9700002670288,12.3400001525879,0.209999993443489,3.35999989509583,119,5,193,1123,NA,NA,3411
8053475328,2016-04-18,2,17076,12.6599998474121,9.07999992370605,0.230000004172325,3.34999990463257,102,6,195,1137,NA,NA,3133
8053475328,2016-04-25,2,20500,15.6899995803833,11.3699998855591,0.46000000834465,3.85999989509583,118,9,209,1104,NA,NA,3403
8053475328,2016-04-17,1,18827,13.6899995803833,9.23999977111816,0.800000011920929,3.64000010490417,111,21,195,1113,NA,NA,3213
